InvoiceNo,InvoiceDate,StockCode,Quantity
536782,2017-01-01,21671,1
536782,2017-01-01,21670,10
536782,2017-01-01,21669,1
536782,2017-01-01,21668,1
536783,2017-01-01,22075,1
536783,2017-01-01,21673,3
536783,2017-01-01,21509,1
536783,2017-01-01,21508,2
536783,2017-01-01,21507,3
536783,2017-01-01,21506,2
536783,2017-01-01,21500,1
536783,2017-01-01,21499,1
536783,2017-01-01,21498,1
536783,2017-01-01,21212,1
536783,2017-01-01,20719,1
536783,2017-01-01,20685,1
536783,2017-01-01,16237,1
536784,2017-01-01,22075,1
536784,2017-01-01,21673,1
536784,2017-01-01,21499,1
536784,2017-01-01,21498,1
536784,2017-01-01,21212,2
536784,2017-01-01,20719,2
536784,2017-01-01,20685,2
536784,2017-01-01,16237,1
536785,2017-01-01,20963,1
536785,2017-01-01,20961,2
536787,2017-01-01,21871,1
536787,2017-01-01,21071,8
536787,2017-01-01,21068,1
536787,2017-01-01,21730,1
536790,2017-01-01,15056,1
536790,2017-01-01,20679,4
536790,2017-01-01,21071,39
536790,2017-01-01,21068,2
536790,2017-01-01,21730,2
536793,2017-01-01,20971,1
536793,2017-01-01,21912,3
536793,2017-01-01,21914,1
536793,2017-01-01,22264,5
536794,2017-01-01,21314,10
536794,2017-01-01,22114,1
536795,2017-01-01,22086,6
536795,2017-01-01,21982,1
536795,2017-01-01,21967,5
536795,2017-01-01,22084,1
536796,2017-01-01,22174,2
536796,2017-01-01,20665,1
536796,2017-01-01,21719,1
536796,2017-01-01,22181,1
536796,2017-01-01,21981,2
536796,2017-01-01,21967,1
536796,2017-01-01,21392,1
536796,2017-01-01,21393,1
536796,2017-01-01,21268,1
536796,2017-01-01,20668,1
536796,2017-01-01,22087,1
536796,2017-01-01,21327,1
536796,2017-01-01,21328,3
536796,2017-01-01,21025,100
536796,2017-01-01,21031,10
536796,2017-01-01,21030,1
536796,2017-01-01,21026,1
536796,2017-01-01,21032,1
536796,2017-01-01,21026,1
536796,2017-01-01,21578,1
536796,2017-01-01,21559,1
536796,2017-01-01,21392,1
536796,2017-01-01,21393,52
536796,2017-01-01,21354,20
536796,2017-01-01,21357,1
536796,2017-01-01,20724,2
536796,2017-01-01,20719,1
536796,2017-01-01,21587,1
536796,2017-01-01,21625,1
536796,2017-01-01,20766,1
536796,2017-01-01,21398,50
536796,2017-01-01,21399,1
536796,2017-01-01,21982,1
536796,2017-01-01,21967,1
536796,2017-01-01,21591,1
536796,2017-01-01,21714,3
536796,2017-01-01,21967,2
536796,2017-01-01,21984,1
536796,2017-01-01,21982,1
536796,2017-01-01,21981,1
536796,2017-01-01,21591,2
536796,2017-01-01,21135,51
536796,2017-01-01,21121,1
536796,2017-01-01,21990,1
536796,2017-01-01,21328,1
536796,2017-01-01,21327,1
536796,2017-01-01,20751,1
536796,2017-01-01,21993,1
536796,2017-01-01,22077,1
536796,2017-01-01,16258,1
536796,2017-01-01,22082,2
536796,2017-01-01,21578,2
536796,2017-01-01,21935,5
536796,2017-01-01,20752,3
536796,2017-01-01,21484,1
536796,2017-01-01,21587,1
536796,2017-01-01,21892,2
536796,2017-01-01,20719,1
536796,2017-01-01,20728,1
536796,2017-01-01,21426,1
536796,2017-01-01,21577,12
536796,2017-01-01,21430,1
536796,2017-01-01,20977,4
536796,2017-01-01,20979,2
536796,2017-01-01,21581,1
536797,2017-01-01,20970,1
536798,2017-01-01,21877,1
536798,2017-01-01,21874,5
536798,2017-01-01,21911,2
536798,2017-01-01,21181,2
536798,2017-01-01,21908,1
536798,2017-01-01,21169,2
536798,2017-01-01,21166,15
536798,2017-01-01,21901,1
536798,2017-01-01,21899,2
536798,2017-01-01,21874,1
536798,2017-01-01,21174,4
536798,2017-01-01,21175,1
536798,2017-01-01,21900,1
536798,2017-01-01,21902,1
536799,2017-01-01,21931,1
536799,2017-01-01,21930,2
536799,2017-01-01,20974,1
536799,2017-01-01,20973,1
536799,2017-01-01,20975,1
536799,2017-01-01,21098,3
536800,2017-01-01,22099,1
536800,2017-01-01,22024,1
536800,2017-01-01,22028,20
536800,2017-01-01,22031,1
536801,2017-01-01,21484,1
536801,2017-01-01,21067,2
536801,2017-01-01,21791,1
536801,2017-01-01,21098,1
536801,2017-01-01,22086,1
536801,2017-01-01,22113,3
536801,2017-01-01,22111,1
536801,2017-01-01,21559,8
536802,2017-01-01,21731,1
536802,2017-01-01,22179,2
536802,2017-01-01,21463,1
536802,2017-01-01,21464,1
536803,2017-01-01,22113,2
536804,2017-01-01,21745,1
536804,2017-01-01,21484,4
536804,2017-01-01,21524,2
536804,2017-01-01,20679,2
536804,2017-01-01,15056,1
536804,2017-01-01,21658,2
536804,2017-01-01,22065,1
536805,2017-01-01,21788,1
536805,2017-01-01,20971,1
536805,2017-01-01,20972,1
536805,2017-01-01,20974,1
536805,2017-01-01,20973,3
536805,2017-01-01,15036,1
536805,2017-01-01,21069,1
536805,2017-01-01,21908,5
536806,2017-01-01,21803,20
536808,2017-01-01,21733,1
536808,2017-01-01,21669,1
536808,2017-01-01,21259,10
536808,2017-01-01,21257,3
536808,2017-01-01,21481,1
536810,2017-01-01,21833,1
536811,2017-01-01,22275,1
536813,2017-01-01,20668,1
536813,2017-01-01,22043,1
536813,2017-01-01,22044,1
536813,2017-01-01,22042,5
536813,2017-01-01,22086,2
536813,2017-01-01,17003,1
536813,2017-01-01,22089,1
536819,2017-01-01,21506,1
536819,2017-01-01,21519,3
536819,2017-01-01,21213,2
536819,2017-01-01,21063,1
536819,2017-01-01,21059,1
536819,2017-01-01,21975,1
536819,2017-01-01,20914,1
536821,2017-01-01,21494,15
536821,2017-01-01,21094,1
536821,2017-01-01,21080,1
536821,2017-01-01,21217,1
536821,2017-01-01,21429,1
536821,2017-01-01,21034,1
536821,2017-01-01,21086,1
536821,2017-01-01,21240,2
536821,2017-01-01,21239,1
536821,2017-01-01,21238,1
536821,2017-01-01,22083,1
536821,2017-01-01,22197,5
536830,2017-01-01,21915,1
536831,2017-01-01,22207,1
536831,2017-01-01,21929,2
536831,2017-01-01,21928,2
536832,2017-01-01,21927,1
536832,2017-01-01,21925,2
536832,2017-01-01,21733,1
536833,2017-01-01,20749,1
536833,2017-01-01,15060,1
536833,2017-01-01,22186,5
536833,2017-01-01,22187,2
536833,2017-01-01,22141,1
536833,2017-01-01,22144,1
536833,2017-01-01,22121,1
536833,2017-01-01,21364,25
536833,2017-01-01,22065,1
536833,2017-01-01,21349,1
536833,2017-01-01,21352,3
536833,2017-01-01,21621,4
536834,2017-01-01,21111,1
536836,2017-01-01,21231,1
536836,2017-01-01,21232,1
536836,2017-01-01,22060,2
536836,2017-01-01,22061,1
536836,2017-01-01,21843,1
536836,2017-01-01,21531,1
536836,2017-01-01,21539,1
536836,2017-01-01,22198,2
536836,2017-01-01,22197,1
536836,2017-01-01,22180,1
536836,2017-01-01,21218,1
536836,2017-01-01,21155,1
536836,2017-01-01,21039,1
536836,2017-01-01,21157,1
536836,2017-01-01,21041,2
536836,2017-01-01,21154,1
536836,2017-01-01,21154,1
536836,2017-01-01,21035,2
536836,2017-01-01,22193,2
536836,2017-01-01,16156,1
536836,2017-01-01,16161,1
536837,2017-01-01,21754,2
536837,2017-01-01,21755,1
536837,2017-01-01,22171,1
536837,2017-01-01,16161,20
536837,2017-01-01,22112,2
536837,2017-01-01,21980,1
536837,2017-01-01,21486,1
536837,2017-01-01,20972,1
536837,2017-01-01,22114,1
536837,2017-01-01,22144,2
536837,2017-01-01,20984,10
536837,2017-01-01,20981,3
536837,2017-01-01,22173,1
536837,2017-01-01,21499,3
536837,2017-01-01,21500,1
536838,2017-01-01,15036,1
536839,2017-01-01,20685,5
536839,2017-01-01,21524,1
536839,2017-01-01,21916,20
536839,2017-01-01,21508,1
536839,2017-01-01,22027,1
536839,2017-01-01,22030,2
536839,2017-01-01,22029,1
536839,2017-01-01,21519,2
536839,2017-01-01,21506,1
536839,2017-01-01,22023,1
536839,2017-01-01,21507,5
536839,2017-01-01,21509,2
536840,2017-01-01,22077,3
536840,2017-01-01,22215,1
536840,2017-01-01,21977,1
536840,2017-01-01,21212,3
536841,2017-01-01,21260,1
536841,2017-01-01,22169,1
536841,2017-01-01,22171,1
536841,2017-01-01,22170,10
536841,2017-01-01,21428,1
536841,2017-01-01,21429,2
536841,2017-01-01,21430,1
536841,2017-01-01,22077,1
536841,2017-01-01,20724,2
536841,2017-01-01,21143,2
536842,2017-01-01,20726,3
536842,2017-01-01,20977,1
536842,2017-01-01,21981,1
536842,2017-01-01,21033,10
536844,2017-01-01,21430,1
536845,2017-01-01,21530,1
536845,2017-01-01,21528,2
536845,2017-01-01,21326,1
536845,2017-01-01,21891,2
536845,2017-01-01,21333,1
536845,2017-01-01,21820,1
536845,2017-01-01,21821,5
536845,2017-01-01,22162,2
536845,2017-01-01,20727,17
536845,2017-01-01,21479,1
536845,2017-01-01,21706,1
536845,2017-01-01,21114,220
536845,2017-01-01,20725,1
536845,2017-01-01,20978,1
536845,2017-01-01,20979,1
536845,2017-01-01,20615,1
536845,2017-01-01,22271,1
536845,2017-01-01,21479,1
536846,2017-01-01,21754,50
536846,2017-01-01,20914,1
536846,2017-01-01,21156,2
536846,2017-01-01,21034,1
536846,2017-01-01,20728,1
536846,2017-01-01,21912,1
536846,2017-01-01,22142,1
536846,2017-01-01,21673,25
536846,2017-01-01,21669,5
536846,2017-01-01,21668,5
536846,2017-01-01,21670,1
536846,2017-01-01,21668,3
536846,2017-01-01,21671,5
536846,2017-01-01,21673,1
536846,2017-01-01,22113,1
536846,2017-01-01,21034,1
536846,2017-01-01,15060,1
536846,2017-01-01,22149,1
536846,2017-01-01,20681,1
536846,2017-01-01,20983,1
536846,2017-01-01,20982,1
536846,2017-01-01,20974,4
536846,2017-01-01,22271,2
536846,2017-01-01,20971,1
536846,2017-01-01,20972,3
536846,2017-01-01,22272,1
536846,2017-01-01,22274,1
536846,2017-01-01,20982,1
536846,2017-01-01,21891,1
536846,2017-01-01,22113,10
536846,2017-01-01,22179,1
536846,2017-01-01,21892,1
536846,2017-01-01,22141,1
536846,2017-01-01,22180,1
536846,2017-01-01,20983,30
536846,2017-01-01,20975,10
536846,2017-01-01,20983,2
536846,2017-01-01,20974,1
536847,2017-01-02,22155,1
536847,2017-01-02,21807,1
536847,2017-01-02,22161,1
536847,2017-01-02,22065,1
536847,2017-01-02,20956,1
536847,2017-01-02,21231,1
536847,2017-01-02,21232,3
536847,2017-01-02,22067,15
536848,2017-01-02,21930,1
536848,2017-01-02,21928,5
536851,2017-01-02,20682,1
536851,2017-01-02,22111,1
536851,2017-01-02,21485,1
536851,2017-01-02,22128,2
536851,2017-01-02,20749,1
536851,2017-01-02,22276,2
536851,2017-01-02,21430,1
536851,2017-01-02,21429,1
536851,2017-01-02,21428,1
536851,2017-01-02,22180,5
536851,2017-01-02,21094,3
536851,2017-01-02,21086,2
536852,2017-01-02,21791,50
536852,2017-01-02,21786,1
536856,2017-01-02,21591,20
536856,2017-01-02,22169,2
536856,2017-01-02,21790,3
536856,2017-01-02,21791,1
536856,2017-01-02,21990,1
536856,2017-01-02,21993,4
536856,2017-01-02,21755,1
536856,2017-01-02,21889,2
536856,2017-01-02,21890,25
536856,2017-01-02,21892,10
536857,2017-01-02,22078,2
536857,2017-01-02,21730,1
536857,2017-01-02,21870,1
536858,2017-01-02,21731,1
536858,2017-01-02,20677,2
536858,2017-01-02,20750,2
536859,2017-01-02,21878,1
536859,2017-01-02,22086,1
536859,2017-01-02,22084,1
536859,2017-01-02,21733,3
536859,2017-01-02,22083,1
536859,2017-01-02,21462,4
536859,2017-01-02,22130,1
536860,2017-01-02,22155,1
536860,2017-01-02,22158,2
536860,2017-01-02,22111,1
536860,2017-01-02,21485,1
536860,2017-01-02,21484,5
536861,2017-01-02,22149,1
536861,2017-01-02,22077,5
536861,2017-01-02,21249,1
536861,2017-01-02,22301,2
536861,2017-01-02,22300,1
536861,2017-01-02,21328,1
536861,2017-01-02,21329,13
536862,2017-01-02,15056,1
536862,2017-01-02,15056,1
536862,2017-01-02,20658,1
536862,2017-01-02,20725,12
536862,2017-01-02,20941,1
536862,2017-01-02,21066,1
536862,2017-01-02,21071,1
536862,2017-01-02,21086,3
536862,2017-01-02,21116,1
536862,2017-01-02,21156,1
536862,2017-01-02,21166,4
536862,2017-01-02,21174,1
536862,2017-01-02,21181,1
536862,2017-01-02,21205,1
536862,2017-01-02,21218,1
536862,2017-01-02,21257,4
536862,2017-01-02,21259,1
536862,2017-01-02,21361,2
536862,2017-01-02,21557,6
536862,2017-01-02,21658,1
536862,2017-01-02,21710,1
536862,2017-01-02,21874,1
536862,2017-01-02,21876,3
536862,2017-01-02,21890,1
536862,2017-01-02,21908,1
536862,2017-01-02,22023,1
536862,2017-01-02,22109,1
